ISO 8601 Date Time,Top of Conservation High (ac-ft),Top of Conservation High (ac-ft) notes,Top of Conservation (ac-ft),Top of Conservation (ac-ft) notes,Storage (ac-ft),Storage (ac-ft) notes,Elevation (ft-NGVD29),Elevation (ft-NGVD29) notes,Inflow (cfs),Inflow (cfs) notes,Outflow (cfs; 614 ft),Outflow (cfs; 614 ft) notes,Russian R @ Hopland (cfs; USGS),Russian R @ Hopland (cfs; USGS) notes,Precip @ Dam (in; 670 ft),Precip @ Dam (in; 670 ft) notes,Basin Precip,Basin Precip notes,Gross Pool,Gross Pool(elev),Russian R nr Ukiah (cfs),Russian R nr Ukiah (cfs) notes
2023-12-27T24:00:00-08:00,68400,0,68410,0,59619,0,732.11,0,127.62,0,142.48,0,239.32,0,0.56,0,-,-,116470,764.8,63.98,0
2023-12-28T24:00:00-08:00,68400,0,68410,0,59619,0,732.11,0,128.43,0,126.72,0,314.06,0,0.05,0,-,-,116470,764.8,128.23,0
2023-12-29T24:00:00-08:00,68400,0,68410,0,60449,0,732.63,0,538.83,0,119.05,0,651.58,0,0.81,0,-,-,116470,764.8,567.9,0
2023-12-30T24:00:00-08:00,68400,0,68410,0,61462,0,733.26,0,606.6,0,93.38,0,1860.84,0,0.38,0,-,-,116470,764.8,821.82,0
2023-12-31T24:00:00-08:00,68400,0,68410,0,61736,0,733.43,0,213.25,0,73.58,0,783.01,0,0,0,-,-,116470,764.8,354.23,0
2024-01-01T24:00:00-08:00,68400,0,68410,0,61865,0,733.51,0,141.29,0,73.73,0,441.76,0,0,0,-,-,116470,764.8,198.09,0
2024-01-02T24:00:00-08:00,68400,0,68410,0,62285,0,733.77,0,274.38,0,61.91,0,347.99,0,0.66,0,-,-,116470,764.8,202.74,0
2024-01-03T24:00:00-08:00,68400,0,68410,0,63144,0,734.3,0,478.05,0,43,0,827.9,0,0.27,0,-,-,116470,764.8,596.45,0
2024-01-04T24:00:00-08:00,68400,0,68410,0,63469,0,734.5,0,199.72,0,33.44,0,534.25,0,0.01,0,-,-,116470,764.8,305.39,0
2024-01-05T24:00:00-08:00,68400,0,68410,0,63681,0,734.63,0,142.87,0,33.37,0,367.54,0,0.01,0,-,-,116470,764.8,196.45,0
2024-01-06T24:00:00-08:00,68400,0,68410,0,63990,0,734.82,0,190.93,0,33.37,0,348.39,0,0.43,0,-,-,116470,764.8,204.17,0
2024-01-07T24:00:00-08:00,68400,0,68410,0,64203,0,734.95,0,144.67,0,34.53,0,374.82,0,0.01,0,-,-,116470,764.8,195.38,0
2024-01-08T24:00:00-08:00,68400,0,68410,0,64366,0,735.05,0,117.9,0,34.21,0,285.85,0,0,0,-,-,116470,764.8,139.64,0
2024-01-09T24:00:00-08:00,68400,0,68410,0,64660,0,735.23,0,183.98,0,33.4,0,318.52,0,0.45,0,-,-,116470,764.8,226.29,0
2024-01-10T24:00:00-08:00,68400,0,68410,0,65267,0,735.6,0,342.76,0,34.85,0,555.75,0,0.41,0,-,-,116470,764.8,650.39,0
2024-01-11T24:00:00-08:00,68400,0,68410,0,65809,0,735.93,0,310.48,0,34.74,0,1116.03,0,0.01,0,-,-,116470,764.8,632.03,0
2024-01-12T24:00:00-08:00,68400,0,68410,0,66089,0,736.1,0,177.76,0,34.76,0,533.37,0,0.01,0,-,-,116470,764.8,315.71,0
2024-01-13T24:00:00-08:00,68400,0,68410,0,69944,0,738.42,0,1979.23,0,34.81,0,2021.13,0,2.11,0,-,-,116470,764.8,2722.4,0
2024-01-14T24:00:00-08:00,68400,0,68410,0,71844,0,739.55,0,993.93,0,33.62,0,4730.89,0,0.03,0,-,-,116470,764.8,1747.75,0
2024-01-15T24:00:00-08:00,68400,0,68410,0,72368,0,739.86,0,351.57,0,84.29,0,1198.05,0,0,0,-,-,116470,764.8,605.3,0
2024-01-16T24:00:00-08:00,68400,0,68410,0,73028,0,740.25,0,457.45,0,123.75,0,878.92,0,0.82,0,-,-,116470,764.8,646.3,0
2024-01-17T24:00:00-08:00,68400,0,68410,0,73079,0,740.28,0,486.81,0,459.29,0,1697,0,0.06,0,-,-,116470,764.8,849.73,0
2024-01-18T24:00:00-08:00,68400,0,68410,0,71389,0,739.28,0,43.54,0,892.94,0,1618.95,0,0.02,0,-,-,116470,764.8,493.43,0
2024-01-19T24:00:00-08:00,68400,0,68410,0,70750,0,738.9,0,174.37,0,494.58,0,1372.51,0,0.46,0,-,-,116470,764.8,392.4,0
2024-01-20T24:00:00-08:00,68400,0,68410,0,72233,0,739.78,0,901.3,0,151.95,0,1666.92,0,0.42,0,-,-,116470,764.8,823.3,0
2024-01-21T24:00:00-08:00,68400,0,68410,0,73723,0,740.66,0,904.5,0,152.02,0,1779.79,0,0.76,0,-,-,116470,764.8,983.45,0
2024-01-22T24:00:00-08:00,68400,0,68410,0,75390,0,741.64,0,995.21,0,152.05,0,3051.11,0,0.09,0,-,-,116470,764.8,1179.73,0
2024-01-23T24:00:00-08:00,68400,0,68410,0,76055,0,742.03,0,493.49,0,151.99,0,1533.84,0,0.28,0,-,-,116470,764.8,645.63,0
2024-01-24T24:00:00-08:00,68400,0,68410,0,77423,0,742.83,0,847.37,0,152.11,0,1759.21,0,0.58,0,-,-,116470,764.8,905.29,0
2024-01-25T24:00:00-08:00,68400,0,68410,0,78109,0,743.23,0,499.11,0,150.01,0,1442.16,0,0.02,0,-,-,116470,764.8,658.6,0
2024-01-26T24:00:00-08:00,68400,0,68410,0,78332,0,743.36,0,348.9,0,234.82,0,1082.11,0,0,0,-,-,116470,764.8,475.2,0
2024-01-27T24:00:00-08:00,68400,0,68410,0,78298,0,743.34,0,286.95,0,301.18,0,930.17,0,0.01,0,-,-,116470,764.8,370.09,0
2024-01-28T24:00:00-08:00,68400,0,68410,0,78006,0,743.17,0,263.9,0,406.48,0,824.16,0,0.01,0,-,-,116470,764.8,305.88,0
2024-01-29T24:00:00-08:00,68400,0,68410,0,76414,0,742.24,0,79.15,0,877.21,0,1042.04,0,0,0,-,-,116470,764.8,256.78,0
2024-01-30T24:00:00-08:00,68400,0,68410,0,74454,0,741.09,0,-32.72,0,950,0,1577.02,0,0,0,-,-,116470,764.8,221.84,0
2024-01-31T24:00:00-08:00,68400,0,68410,0,77218,0,742.71,0,1546.52,0,151.71,0,1945.89,0,2.18,0,-,-,116470,764.8,1633.65,0
2024-02-01T24:00:00-08:00,68400,0,68410,0,79829,0,744.23,0,1467.9,0,149.76,0,5910.53,0,0.35,0,-,-,116470,764.8,1813.06,0
2024-02-02T24:00:00-08:00,68400,0,68410,0,80536,0,744.64,0,790.3,0,431.76,0,2746.37,0,0.27,0,-,-,116470,764.8,1090.24,0
2024-02-03T24:00:00-08:00,68400,0,68410,0,80519,0,744.63,0,567.84,0,573.67,0,2390.26,0,0.02,0,-,-,116470,764.8,810.06,0
2024-02-04T24:00:00-08:00,68400,0,68410,0,86074,0,747.83,0,2950.22,0,147.57,0,4409.58,0,1.58,0,-,-,116470,764.8,1953.29,0
2024-02-05T24:00:00-08:00,68400,0,68410,0,89224,0,749.63,0,1729.45,0,139.06,0,7682.32,0,0.43,0,-,-,116470,764.8,2015.29,0
2024-02-06T24:00:00-08:00,68400,0,68410,0,88645,0,749.3,0,657.59,0,946.23,0,3237.53,0,0.01,0,-,-,116470,764.8,848.52,0
2024-02-07T24:00:00-08:00,68400,0,68410,0,86405,0,748.02,0,353.3,0,1480.83,0,3210.89,0,0.25,0,-,-,116470,764.8,636.74,0
2024-02-08T24:00:00-08:00,68400,0,68410,0,83983,0,746.63,0,315.13,0,1532.82,0,2777.74,0,0,0,-,-,116470,764.8,503.9,0
2024-02-09T24:00:00-08:00,68400,0,68410,0,82577,0,745.82,0,433.17,0,1138.59,0,2093.74,0,0,0,-,-,116470,764.8,388.33,0
2024-02-10T24:00:00-08:00,68400,0,68410,0,81902,0,745.43,0,454.52,0,790.69,0,1353.47,0,0.01,0,-,-,116470,764.8,318.7,0
2024-02-11T24:00:00-08:00,68400,0,68410,0,81175,0,745.01,0,428.14,0,790.62,0,1202.42,0,0,0,-,-,116470,764.8,270.3,0
2024-02-12T24:00:00-08:00,68400,0,68410,0,79950,0,744.3,0,337.71,0,951.86,0,1165.84,0,0,0,-,-,116470,764.8,238.76,0
2024-02-13T24:00:00-08:00,68400,0,68410,0,77938,0,743.13,0,209.35,0,1220.24,0,1501.53,0,0,0,-,-,116470,764.8,215.26,0
2024-02-14T24:00:00-08:00,68400,0,68410,0,76602,0,742.35,0,389.09,0,1061.21,0,1734.53,0,0.56,0,-,-,116470,764.8,240.46,0
2024-02-15T24:00:00-08:00,68400,0,68410,0,76363,0,742.21,0,677.71,0,795.6,0,1608.58,0,0.06,0,-,-,116470,764.8,490.26,0
2024-02-16T24:00:00-08:00,68400,0,68410,0,75816,0,741.89,0,443.05,0,715.99,0,1387.42,0,0,0,-,-,116470,764.8,332.59,0
2024-02-17T24:00:00-08:00,68400,0,68410,0,77406,0,742.82,0,953.45,0,150.91,0,1404.08,0,0.92,0,-,-,116470,764.8,815.75,0
2024-02-18T24:00:00-08:00,68400,0,68410,0,80139,0,744.41,0,1530.85,0,150.39,0,3284.21,0,1.16,0,-,-,116470,764.8,1466.22,0
2024-02-19T24:00:00-08:00,68400,0,68410,0,84192,0,746.75,0,2196.9,0,150.46,0,5578.32,0,0.94,0,-,-,116470,764.8,2094.05,0
2024-02-20T24:00:00-08:00,68400,0,68410,0,87087,0,748.41,0,1607.62,0,146.42,0,4874.05,0,0.36,0,-,-,116470,764.8,1817.41,0
2024-02-21T24:00:00-08:00,68400,0,68410,0,88207,0,749.05,0,1081.51,0,514.11,0,3540.89,0,0.19,0,-,-,116470,764.8,1057.81,0
2024-02-22T24:00:00-08:00,68400,0,68410,0,88330,0,749.12,0,814.43,0,748.3,0,2900.58,0,0.01,0,-,-,116470,764.8,691.15,0
2024-02-23T24:00:00-08:00,68400,0,68410,0,88172,0,749.03,0,675.33,0,750.61,0,2245.89,0,0.01,0,-,-,116470,764.8,484.64,0
2024-02-24T24:00:00-08:00,68400,0,68410,0,87752,0,748.79,0,543.96,0,749.42,0,1865.95,0,0.01,0,-,-,116470,764.8,373.01,0
2024-02-25T24:00:00-08:00,68400,0,68410,0,87262,0,748.51,0,503.9,0,745.14,0,1631,0,0,0,-,-,116470,764.8,296.13,0
2024-02-26T24:00:00-08:00,68400,0,68410,0,86318,0,747.97,0,412.35,0,884.77,0,1558.32,0,0,0,-,-,116470,764.8,241.34,0
2024-02-27T24:00:00-08:00,68400,0,68410,0,85027,0,747.23,0,356.95,0,1002.4,0,1619.05,0,0,0,-,-,116470,764.8,199.66,0
2024-02-28T24:00:00-08:00,68400,0,68410,0,82994,0,746.06,0,229.68,0,1248.83,0,1716.32,0,0,0,-,-,116470,764.8,169.79,0
2024-02-29T24:00:00-08:00,68400,0,68410,0,82161,0,745.58,0,276.69,0,694.22,0,1681.53,0,0.26,0,-,-,116470,764.8,206.03,0
2024-03-01T24:00:00-08:00,69000,0,69000,0,84557,0,746.96,0,1359.79,0,150.55,0,1747.79,0,1.07,0,-,-,116470,764.8,804.95,0
2024-03-02T24:00:00-08:00,69600,0,69600,0,87262,0,748.51,0,1512.62,0,147.23,0,3802.42,0,0.47,0,-,-,116470,764.8,1401.03,0
2024-03-03T24:00:00-08:00,70200,0,70200,0,88260,0,749.08,0,1195.65,0,689.58,0,3278.89,0,0.4,0,-,-,116470,764.8,977.59,0
2024-03-04T24:00:00-08:00,70800,0,70800,0,88768,0,749.37,0,963.54,0,705.45,0,3043.95,0,0.16,0,-,-,116470,764.8,745.57,0
2024-03-05T24:00:00-08:00,71400,0,71400,0,89961,0,750.05,0,1144.9,0,540.8,0,2811.84,0,0.54,0,-,-,116470,764.8,997.08,0
2024-03-06T24:00:00-08:00,72000,0,72000,0,92038,0,751.23,0,1468.49,0,417.75,0,4030.05,0,0.37,0,-,-,116470,764.8,1731.19,0
2024-03-07T24:00:00-08:00,72600,0,72600,0,92197,0,751.32,0,851.72,0,765.54,0,2997.26,0,0.01,0,-,-,116470,764.8,818.98,0
2024-03-08T24:00:00-08:00,73200,0,73200,0,90454,0,750.33,0,676.16,0,1548.39,0,2810.05,0,0,0,-,-,116470,764.8,518.31,0
2024-03-09T24:00:00-08:00,73800,0,73800,0,87804,0,748.82,0,654.28,0,1986.04,0,3065.74,0,0.1,0,-,-,116470,764.8,400.29,0
2024-03-10T24:00:00-07:00,74400,0,74400,0,87105,0,748.42,0,623.11,0,988.11,0,2455.75,0,0.67,0,-,-,116470,764.8,400.06,0
2024-03-11T24:00:00-07:00,75000,0,75000,0,88085,0,748.98,0,646.76,0,149.83,0,1973.05,0,0.25,0,-,-,116470,764.8,574.26,0
2024-03-12T24:00:00-07:00,75600,0,75600,0,89487,0,749.78,0,737.15,0,25.63,0,1627.84,0,0.19,0,-,-,116470,764.8,632.51,0
2024-03-13T24:00:00-07:00,76200,0,76200,0,90401,0,750.3,0,493.04,0,25.73,0,1307.37,0,0,0,-,-,116470,764.8,433.98,0
2024-03-14T24:00:00-07:00,76800,0,76800,0,91087,0,750.69,0,379.94,0,25.8,0,1072.19,0,0.01,0,-,-,116470,764.8,345.9,0
2024-03-15T24:00:00-07:00,77400,0,77400,0,91668,0,751.02,0,328.4,0,25.79,0,912.11,0,0,0,-,-,116470,764.8,283.23,0
2024-03-16T24:00:00-07:00,78000,0,78000,0,92179,0,751.31,0,291.67,0,25.9,0,775.29,0,0.01,0,-,-,116470,764.8,232.38,0
2024-03-17T24:00:00-07:00,78600,0,78600,0,92620,0,751.56,0,256.5,0,25.99,0,661.32,0,0,0,-,-,116470,764.8,192.69,0
2024-03-18T24:00:00-07:00,79200,0,79200,0,93008,0,751.78,0,233.57,0,25.94,0,589.12,0,0,0,-,-,116470,764.8,164.66,0
2024-03-19T24:00:00-07:00,79800,0,79800,0,93202,0,751.89,0,215.15,0,104.71,0,566.79,0,0,0,-,-,116470,764.8,143.94,0
2024-03-20T24:00:00-07:00,80400,0,80400,0,93220,0,751.9,0,199.19,0,183.27,0,605.76,0,0.01,0,-,-,116470,764.8,129.66,0
2024-03-21T24:00:00-07:00,81000,0,81000,0,93149,0,751.86,0,238.79,0,267.08,0,612.39,0,0,0,-,-,116470,764.8,133.79,0
2024-03-22T24:00:00-07:00,81600,0,81600,0,93114,0,751.84,0,290.31,0,305.68,0,648.48,0,0.33,0,-,-,116470,764.8,154.46,0
2024-03-23T24:00:00-07:00,82200,0,82200,0,93432,0,752.02,0,469.23,0,305.56,0,853.31,0,0.47,0,-,-,116470,764.8,283.87,0
2024-03-24T24:00:00-07:00,82800,0,82800,0,93750,0,752.2,0,525.81,0,360,0,1390.37,0,0.1,0,-,-,116470,764.8,497.3,0
2024-03-25T24:00:00-07:00,83400,0,83400,0,93697,0,752.17,0,428.33,0,447.72,0,1055.05,0,0,0,-,-,116470,764.8,299.36,0
2024-03-26T24:00:00-07:00,84000,0,84000,0,93556,0,752.09,0,370.68,0,434.15,0,889.09,0,0,0,-,-,116470,764.8,235.26,0
2024-03-27T24:00:00-07:00,84600,0,84600,0,93821,0,752.24,0,418.69,0,282.95,0,814.53,0,0.51,0,-,-,116470,764.8,338.17,0
2024-03-28T24:00:00-07:00,85200,0,85200,0,94581,0,752.67,0,535.34,0,146.41,0,1423.47,0,0.23,0,-,-,116470,764.8,520.58,0
2024-03-29T24:00:00-07:00,85800,0,85800,0,95166,0,753,0,448.04,0,150.79,0,1192.37,0,0.18,0,-,-,116470,764.8,400.33,0
2024-03-30T24:00:00-07:00,86400,0,86400,0,95822,0,753.37,0,443.97,0,106.87,0,1532.79,0,0.06,0,-,-,116470,764.8,404.26,0
2024-03-31T24:00:00-07:00,87015,0,86400,0,96336,0,753.66,0,341.19,0,74.06,0,1092.08,0,0,0,-,-,116470,764.8,309.21,0
2024-04-01T24:00:00-07:00,87630,0,86400,0,96709,0,753.87,0,271.71,0,73.91,0,860.92,0,0,0,-,-,116470,764.8,251.94,0
2024-04-02T24:00:00-07:00,88245,0,86400,0,97011,0,754.04,0,236.3,0,74.1,0,716.37,0,0,0,-,-,116470,764.8,211.97,0
2024-04-03T24:00:00-07:00,88860,0,86400,0,97313,0,754.21,0,231.87,0,72.74,0,626.79,0,0,0,-,-,116470,764.8,187.14,0
2024-04-04T24:00:00-07:00,89475,0,86400,0,97704,0,754.43,0,274.61,0,74.15,0,615.99,0,0.59,0,-,-,116470,764.8,195,0
2024-04-05T24:00:00-07:00,90090,0,86400,0,98113,0,754.66,0,285.21,0,72.56,0,687.4,0,0.01,0,-,-,116470,764.8,247.8,0
2024-04-06T24:00:00-07:00,90705,0,86400,0,98345,0,754.79,0,198.4,0,74.28,0,562.17,0,0.01,0,-,-,116470,764.8,185.39,0
2024-04-07T24:00:00-07:00,91320,0,86400,0,98576,0,754.92,0,197.29,0,74.29,0,502.48,0,0.02,0,-,-,116470,764.8,164.41,0
2024-04-08T24:00:00-07:00,91935,0,86400,0,98808,0,755.05,0,200.06,0,74.26,0,466.43,0,0,0,-,-,116470,764.8,146.69,0
2024-04-09T24:00:00-07:00,92550,0,86400,0,99004,0,755.16,0,187.59,0,78.66,0,433.1,0,0,0,-,-,116470,764.8,132.09,0
2024-04-10T24:00:00-07:00,93165,0,86400,0,99164,0,755.25,0,182.83,0,91.54,0,420.21,0,0,0,-,-,116470,764.8,118.5,0
2024-04-11T24:00:00-07:00,93780,0,86400,0,99254,0,755.3,0,166.03,0,109.89,0,407.37,0,0,0,-,-,116470,764.8,107.92,0
2024-04-12T24:00:00-07:00,94395,0,86400,0,99289,0,755.32,0,152.72,0,128.83,0,409.53,0,0,0,-,-,116470,764.8,100.55,0
2024-04-13T24:00:00-07:00,95010,0,86400,0,99485,0,755.43,0,227.34,0,125.25,0,449.13,0,0.36,0,-,-,116470,764.8,127.18,0
2024-04-14T24:00:00-07:00,95625,0,86400,0,99699,0,755.55,0,240.54,0,128.86,0,442.22,0,0.25,0,-,-,116470,764.8,124.46,0
2024-04-15T24:00:00-07:00,96240,0,86400,0,99824,0,755.62,0,201.29,0,128.87,0,423.89,0,0.01,0,-,-,116470,764.8,113.45,0
2024-04-16T24:00:00-07:00,-,5,-,5,100003,0,755.72,0,229.32,0,128.97,0,394.97,0,0,0,-,-,116470,764.8,99.15,0
2024-04-17T24:00:00-07:00,97470,0,86400,0,100110,0,755.78,0,193.6,0,128.98,0,377.37,0,0,0,-,-,116470,764.8,90.47,0
2024-04-18T24:00:00-07:00,98085,0,86400,0,100217,0,755.84,0,193.2,0,128.96,0,361.77,0,0,0,-,-,116470,764.8,82.68,0
2024-04-19T24:00:00-07:00,98700,0,86400,0,100324,0,755.9,0,199.21,0,133.6,0,349.01,0,0.01,0,-,-,116470,764.8,76.64,0
2024-04-20T24:00:00-07:00,99315,0,86400,0,100378,0,755.93,0,189.68,0,150.87,0,351.29,0,0,0,-,-,116470,764.8,70.34,0
2024-04-21T24:00:00-07:00,99930,0,86400,0,100431,0,755.96,0,189.86,0,150.91,0,342.15,0,0,0,-,-,116470,764.8,65.04,0
2024-04-22T24:00:00-07:00,100545,0,86400,0,100449,0,755.97,0,169.42,0,148.02,0,334.62,0,0,0,-,-,116470,764.8,62.23,0
2024-04-23T24:00:00-07:00,101160,0,86400,0,100467,0,755.98,0,159.01,0,142.6,0,329.67,0,0,0,-,-,116470,764.8,58.76,0
2024-04-24T24:00:00-07:00,101775,0,86400,0,100485,0,755.99,0,168.3,0,151,0,324.76,0,0,0,-,-,116470,764.8,56.14,0
2024-04-25T24:00:00-07:00,102390,0,86400,0,100503,0,756,0,159.88,0,143.95,0,315.73,0,0,0,-,-,116470,764.8,56.63,0