etag,kind,videoId,publishedAt,channelId,title,description,default_url,default_width,default_height,medium_url,medium_width,medium_height,high_url,high_width,high_height,channelTitle,liveBroadcastContent,publishTime,viewCount,likeCount
sQ5NDeYAHpbNJOKc7krGKs9IP3k,youtube#video,PoGnLtH1UHY,2025-04-01T17:26:59Z,UCg7Fdhrmwi8ZqakqiO3xPkg,Trio at Cal Poly Humboldt,"""We're here to support people, meet you where you're at, and help you flourish!"" - Tania Marin The goal of Educational Talent ...",https://i.ytimg.com/vi/PoGnLtH1UHY/default.jpg,120,90,https://i.ytimg.com/vi/PoGnLtH1UHY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/PoGnLtH1UHY/hqdefault.jpg,480,360,HumboldtOnline,none,2025-04-01T17:26:59Z,27,2
8frtqOI_0dcOCINsANaOhri0fTk,youtube#video,u-PfB0FTmxI,2025-02-01T00:32:55Z,UCg7Fdhrmwi8ZqakqiO3xPkg,SOUNDCHECK: &quot;Yes or No&quot; - Cal Poly Humboldt Music Students play Wayne Shorter,"Yes or No” by Wayne Shorter, performed at soundcheck by Djäz Ünlöded prior to the Jazz Combo Recital in December 2024.",https://i.ytimg.com/vi/u-PfB0FTmxI/default.jpg,120,90,https://i.ytimg.com/vi/u-PfB0FTmxI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/u-PfB0FTmxI/hqdefault.jpg,480,360,HumboldtOnline,none,2025-02-01T00:32:55Z,164,20
_uQQJvfoAz7qZJYaOYyp0YEpkpU,youtube#video,90yFl295N9M,2024-12-21T04:43:58Z,UCg7Fdhrmwi8ZqakqiO3xPkg,Fall Commencement 2024,Congratulations to the Cal Poly Humboldt graduates of Fall 2024!,https://i.ytimg.com/vi/90yFl295N9M/default.jpg,120,90,https://i.ytimg.com/vi/90yFl295N9M/mqdefault.jpg,320,180,https://i.ytimg.com/vi/90yFl295N9M/hqdefault.jpg,480,360,HumboldtOnline,none,2024-12-21T04:43:58Z,90,4
FuC2K8Hl9XO9hcVRF0AAVqn_8fM,youtube#video,FTrKunStGOg,2024-12-11T20:29:04Z,UCg7Fdhrmwi8ZqakqiO3xPkg,Happy Holidays From Cal Poly Humboldt,"As we look ahead to the new year, students get into the holiday spirit by sharing their warmest, fuzziest thoughts with warm and ...",https://i.ytimg.com/vi/FTrKunStGOg/default.jpg,120,90,https://i.ytimg.com/vi/FTrKunStGOg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/FTrKunStGOg/hqdefault.jpg,480,360,HumboldtOnline,none,2024-12-11T20:29:04Z,2211,79
dz5BcVshPQtrCKBA_YUAcnfoqXU,youtube#video,Wkbj2V8CQTw,2024-10-17T23:08:59Z,UCg7Fdhrmwi8ZqakqiO3xPkg,Groundbreaking: Engineering &amp; Technology Building,"Ushering in a new era for Northern California's first polytechnic university, today saw the official groundbreaking for Cal Poly ...",https://i.ytimg.com/vi/Wkbj2V8CQTw/default.jpg,120,90,https://i.ytimg.com/vi/Wkbj2V8CQTw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Wkbj2V8CQTw/hqdefault.jpg,480,360,HumboldtOnline,none,2024-10-17T23:08:59Z,355,5
npK2lrvy2F0orT8o34e38Yws2Lg,youtube#video,KChBHjfbIEg,2024-08-20T23:33:52Z,UCg7Fdhrmwi8ZqakqiO3xPkg,Move-in Day 2024!,"Emotion, excitement, and a lot of moving boxes: we love to see it! Welcome to 1100 new Lumberjacks!",https://i.ytimg.com/vi/KChBHjfbIEg/default.jpg,120,90,https://i.ytimg.com/vi/KChBHjfbIEg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/KChBHjfbIEg/hqdefault.jpg,480,360,HumboldtOnline,none,2024-08-20T23:33:52Z,966,9
9e5N6empJXLYOyyf06XXdFCYbr0,youtube#video,3zMDLOCQLAw,2024-07-20T17:00:05Z,UCg7Fdhrmwi8ZqakqiO3xPkg,Future Roots Episode 1: Colton Dixon &amp; urban streams,,https://i.ytimg.com/vi/3zMDLOCQLAw/default.jpg,120,90,https://i.ytimg.com/vi/3zMDLOCQLAw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/3zMDLOCQLAw/hqdefault.jpg,480,360,HumboldtOnline,none,2024-07-20T17:00:05Z,124,6
wNqjlr6H3DTVGZ4rqAapQdOQLT0,youtube#video,0D79QvI5c34,2024-06-24T19:55:59Z,UCg7Fdhrmwi8ZqakqiO3xPkg,Take a hike! #CalPolyHumboldt #Redwoods #HikeWithAGeekDay,Happy #HikeWithAGeekDay! We hope you had the chance to get outside with your favorite hiking buddies/fellow nerds! What's ...,https://i.ytimg.com/vi/0D79QvI5c34/default.jpg,120,90,https://i.ytimg.com/vi/0D79QvI5c34/mqdefault.jpg,320,180,https://i.ytimg.com/vi/0D79QvI5c34/hqdefault.jpg,480,360,HumboldtOnline,none,2024-06-24T19:55:59Z,187,10
VUvjc2rZLEsDOV_TWl-gj-uNY3s,youtube#video,FBPPTlCyl_I,2024-05-17T20:35:16Z,UCg7Fdhrmwi8ZqakqiO3xPkg,Living on Campus at Cal Poly Humboldt,"Where should you live on campus at Cal Poly Humboldt? At Cal Poly Humboldt, there are plenty of on-campus housing options for ...",https://i.ytimg.com/vi/FBPPTlCyl_I/default.jpg,120,90,https://i.ytimg.com/vi/FBPPTlCyl_I/mqdefault.jpg,320,180,https://i.ytimg.com/vi/FBPPTlCyl_I/hqdefault.jpg,480,360,HumboldtOnline,none,2024-05-17T20:35:16Z,7030,71
Hu8xzW82I6OM_j1hgWwCrHSrFps,youtube#video,BXHHOFPAypI,2024-03-26T19:39:36Z,UCg7Fdhrmwi8ZqakqiO3xPkg,Humboldt Logging Sports 2024,,https://i.ytimg.com/vi/BXHHOFPAypI/default.jpg,120,90,https://i.ytimg.com/vi/BXHHOFPAypI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/BXHHOFPAypI/hqdefault.jpg,480,360,HumboldtOnline,none,2024-03-26T19:39:36Z,757,17
Dkyi0Ci4Q8L7pLAEpdbrCaJ-8BM,youtube#video,GpOplrOC7X0,2024-02-23T19:10:27Z,UCg7Fdhrmwi8ZqakqiO3xPkg,Move Into Your Future,"Shape your future at Humboldt! We are a small, hands-on program dedicated to serving our students. We offer a variety of ...",https://i.ytimg.com/vi/GpOplrOC7X0/default.jpg,120,90,https://i.ytimg.com/vi/GpOplrOC7X0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/GpOplrOC7X0/hqdefault.jpg,480,360,HumboldtOnline,none,2024-02-23T19:10:27Z,476,7
rKcCuLIJW16bm59ns_mTrP7S7hA,youtube#video,ftG6_2mJ1sY,2024-02-02T22:55:16Z,UCg7Fdhrmwi8ZqakqiO3xPkg,Software Engineering at Cal Poly Humboldt,"How can software be used for good? From self-driving cars to climate monitoring systems, the growing role of artificial ...",https://i.ytimg.com/vi/ftG6_2mJ1sY/default.jpg,120,90,https://i.ytimg.com/vi/ftG6_2mJ1sY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/ftG6_2mJ1sY/hqdefault.jpg,480,360,HumboldtOnline,none,2024-02-02T22:55:16Z,432,3
VRnI-63mbQHMqCIMOg5cd8WxvjA,youtube#video,kUW6duHD2e8,2024-01-20T01:15:39Z,UCg7Fdhrmwi8ZqakqiO3xPkg,When Programmers need Botanists,"Color theory, botany, and software merge to create Cal Poly Humboldt's 3D Digital Herbarium. Cal Poly Humboldt is launching its ...",https://i.ytimg.com/vi/kUW6duHD2e8/default.jpg,120,90,https://i.ytimg.com/vi/kUW6duHD2e8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/kUW6duHD2e8/hqdefault.jpg,480,360,HumboldtOnline,none,2024-01-20T01:15:39Z,681,15
CUUYjiwuz2Eg8NUL3xka72xLL0I,youtube#video,fw9QWVUvpa8,2024-01-02T16:49:58Z,UCg7Fdhrmwi8ZqakqiO3xPkg,Happy New Year from Cal Poly Humboldt,"This new year, may your journey be filled with wonder and exploration, the joy of beauty, and the embrace of family and friends.",https://i.ytimg.com/vi/fw9QWVUvpa8/default.jpg,120,90,https://i.ytimg.com/vi/fw9QWVUvpa8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/fw9QWVUvpa8/hqdefault.jpg,480,360,HumboldtOnline,none,2024-01-02T16:49:58Z,1748,38
IAOYSI6k-xeJlrEzSe_3AqSYHnA,youtube#video,W60D6UMHC9U,2023-11-09T19:56:08Z,UCg7Fdhrmwi8ZqakqiO3xPkg,New Major: Humboldt Geospatial Science &amp; Technology,"Geospatial Science & Technology is an interdisciplinary program between Geography, Environment & Spatial Analysis; Forestry, ...",https://i.ytimg.com/vi/W60D6UMHC9U/default.jpg,120,90,https://i.ytimg.com/vi/W60D6UMHC9U/mqdefault.jpg,320,180,https://i.ytimg.com/vi/W60D6UMHC9U/hqdefault.jpg,480,360,HumboldtOnline,none,2023-11-09T19:56:08Z,184,2
gNBkinn4ZSlnlXFxlC8FxFPd82k,youtube#video,OqtqWymLE7o,2023-11-09T19:12:13Z,UCg7Fdhrmwi8ZqakqiO3xPkg,Soccer Sendoff!,They're on their way! Join us in wishing Humboldt Women's Soccer good luck at ccaad semifinals! GO JACKS! Details: ...,https://i.ytimg.com/vi/OqtqWymLE7o/default.jpg,120,90,https://i.ytimg.com/vi/OqtqWymLE7o/mqdefault.jpg,320,180,https://i.ytimg.com/vi/OqtqWymLE7o/hqdefault.jpg,480,360,HumboldtOnline,none,2023-11-09T19:12:13Z,152,3
lNsVFjVabWx0YI3RnjFH0aEpogY,youtube#video,pbuA-eb-krQ,2023-11-09T18:08:42Z,UCg7Fdhrmwi8ZqakqiO3xPkg,Major in Cannabis Studies,Located in the epicenter of domestic cannabis cultivation. Grounded in the liberal arts. Dedicated to a stigma-free approach.,https://i.ytimg.com/vi/pbuA-eb-krQ/default.jpg,120,90,https://i.ytimg.com/vi/pbuA-eb-krQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/pbuA-eb-krQ/hqdefault.jpg,480,360,HumboldtOnline,none,2023-11-09T18:08:42Z,386,14
_yFl8adCLO1_VRzV5I_mJV3uKXs,youtube#video,Ld38owMHw6k,2023-10-30T18:24:10Z,UCg7Fdhrmwi8ZqakqiO3xPkg,Humboldt Triathlon,"Biking farm roads in the Arcata Bottoms, running trails in the Community Forest and swimming the frigid waters of Humboldt Bay ...",https://i.ytimg.com/vi/Ld38owMHw6k/default.jpg,120,90,https://i.ytimg.com/vi/Ld38owMHw6k/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Ld38owMHw6k/hqdefault.jpg,480,360,HumboldtOnline,none,2023-10-30T18:24:10Z,520,12
gSlP56Fpjsp13r7v_36Toz1A70I,youtube#video,K82XKtAXA6Q,2023-10-09T18:58:59Z,UCg7Fdhrmwi8ZqakqiO3xPkg,New Major - Individualized Degree Plan,"As the landscape of careers constantly changes, so does the need for college degree programs. Adapting to that change is the ...",https://i.ytimg.com/vi/K82XKtAXA6Q/default.jpg,120,90,https://i.ytimg.com/vi/K82XKtAXA6Q/mqdefault.jpg,320,180,https://i.ytimg.com/vi/K82XKtAXA6Q/hqdefault.jpg,480,360,HumboldtOnline,none,2023-10-09T18:58:59Z,354,3
o0dJlivk7ubf9R7UtkfieKT9nX4,youtube#video,n8hKMYXMUNk,2023-09-25T16:32:59Z,UCg7Fdhrmwi8ZqakqiO3xPkg,Fire Science at Humboldt,"The news has been inescapable: wildfires in California and across the West have become larger, more severe, more destructive, ...",https://i.ytimg.com/vi/n8hKMYXMUNk/default.jpg,120,90,https://i.ytimg.com/vi/n8hKMYXMUNk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/n8hKMYXMUNk/hqdefault.jpg,480,360,HumboldtOnline,none,2023-09-25T16:32:59Z,515,8
561fT8FWaa843RXCU1Bze15oDmw,youtube#video,AjD6QKN9fsM,2023-09-05T17:05:16Z,UCg7Fdhrmwi8ZqakqiO3xPkg,CAL FIRE + Cal Poly Humboldt,Cal Poly Humboldt and CAL FIRE have collaborated over the years to help the next generation of fire scientists and foresters.,https://i.ytimg.com/vi/AjD6QKN9fsM/default.jpg,120,90,https://i.ytimg.com/vi/AjD6QKN9fsM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/AjD6QKN9fsM/hqdefault.jpg,480,360,HumboldtOnline,none,2023-09-05T17:05:16Z,594,12
sqI5Gi9L-lbUn9AacaG08hR7KZ8,youtube#video,RozpLq4L5i8,2023-08-22T22:31:55Z,UCg7Fdhrmwi8ZqakqiO3xPkg,Wildlife + Agriculture: Looking for a Win-Win,"In exchange for a comfortable home, these birds pay the rent—in rodents and insects. Amid the vineyards of Napa Valley, Wildlife ...",https://i.ytimg.com/vi/RozpLq4L5i8/default.jpg,120,90,https://i.ytimg.com/vi/RozpLq4L5i8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/RozpLq4L5i8/hqdefault.jpg,480,360,HumboldtOnline,none,2023-08-22T22:31:55Z,340,10
qFBD_5_6sDOy0Zc8v6ztUeporyg,youtube#video,_V7S0NRr6nQ,2023-08-19T00:46:35Z,UCg7Fdhrmwi8ZqakqiO3xPkg,Move-In and Orientation Week!,"New students have been busy - and they're just getting started. From move-in day to meeting their Learning Communities, ...",https://i.ytimg.com/vi/_V7S0NRr6nQ/default.jpg,120,90,https://i.ytimg.com/vi/_V7S0NRr6nQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/_V7S0NRr6nQ/hqdefault.jpg,480,360,HumboldtOnline,none,2023-08-19T00:46:35Z,2709,8
CarIf_sWKZP-R34qn39pXnvHZs0,youtube#video,EFUd5aNVo58,2023-08-17T21:38:21Z,UCg7Fdhrmwi8ZqakqiO3xPkg,Protecting Culture from the Ground Up,"The Cultural Resources Facility (CRF) studies, preserves, and manages local cultural resources to ensure they survive for future ...",https://i.ytimg.com/vi/EFUd5aNVo58/default.jpg,120,90,https://i.ytimg.com/vi/EFUd5aNVo58/mqdefault.jpg,320,180,https://i.ytimg.com/vi/EFUd5aNVo58/hqdefault.jpg,480,360,HumboldtOnline,none,2023-08-17T21:38:21Z,63,1
