month,day,glucose
4,21,100
4,22,216
4,23,257
4,24,239
4,25,67
4,26,77
4,27,259
4,28,109
4,29,128
4,30,179
5,1,86
5,2,147
5,3,305
5,4,133
5,5,183
5,6,91
5,7,121
5,8,251
5,9,87
5,10,255
5,11,136
5,12,236
5,13,108
5,14,65
5,15,183
5,16,117
5,17,76
5,18,244
5,19,125
5,20,87
5,21,122
5,22,77
5,23,297
5,24,246
5,25,149
5,26,312
5,27,295
5,28,75
5,29,273
5,30,217
5,31,163
6,1,313
6,2,102
6,3,69
6,4,227
6,5,75
6,6,142
6,7,141
6,8,182
6,9,173
6,10,171
6,11,156
6,12,55
6,13,233
6,14,194
6,15,76
6,16,94
6,17,133
6,18,103
6,19,262
6,20,152
6,21,207
6,22,142
6,23,184
6,24,113
6,25,142
6,26,168
6,27,265
6,28,206
6,29,263
6,30,193
7,1,197
7,2,66
7,3,255
7,4,267
7,5,256
7,6,166
7,7,182
7,8,169
7,9,94
7,10,184
7,11,129
7,12,258
7,13,251
7,14,225
7,15,107
7,16,178
7,17,121
7,18,109
7,19,130
7,20,257
7,21,153
7,22,59
7,23,261
7,24,111
7,25,118
7,26,70
7,27,123
7,28,160
7,29,87
7,30,204
7,31,109
8,1,90
8,2,79
8,3,244
8,4,246
8,5,234
8,6,101
8,7,165
8,8,247
8,9,335
8,10,201
8,11,209
8,12,129
8,13,199
8,14,249
8,15,246
8,16,251
8,17,159
8,19,103
8,20,98
8,21,163
8,22,59
8,23,138
8,24,251
8,25,293
8,26,89
8,27,152
8,28,283
8,29,135
8,30,253
8,31,165
9,1,183
9,2,168
9,3,110